lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
3.433361,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9750312109862672
2.902001,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9800249687890137
1.429471,l2,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9937578027465668
2.935961,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.978776529338327
9.776931,,,,,,
2.488311,l2,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9812734082397003
6.588201,,,,,,
7.013311,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
5.038081,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9700374531835206
1.739201,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9900124843945068
6.070731,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
0.923661,l1,0.8757575757575757,0.8757575757575756,0.8753460510886253,0.8747412882536167,0.9937578027465668
4.695851,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
8.320191,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
9.481571,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
8.010031,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
5.828931,,,,,,
7.287091,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
2.248351,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9812734082397003
3.789831,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9750312109862672
8.149001,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
8.609031,,,,,,
