lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
3.433361,l1,260,10.2,0.6333333333333333,0.6333333333333333,0.6398370485961727,0.5396859372739297,0.6392009987515606
2.902001,l1,10,39.2,0.23333333333333334,0.2333333333333333,0.26156359979889393,0.18928901897837783,0.24968789013732834
1.429471,l2,460,34.2,0.3515151515151515,0.3515151515151515,0.22946859903381642,0.24242807194911328,0.35830212234706615
2.935961,l1,260,38.2,0.23333333333333334,0.2333333333333333,0.26156359979889393,0.18928901897837783,0.250936329588015
9.776931,,10,15.2,,,,,
2.488311,l2,385,22.2,0.2545454545454545,0.2545454545454546,0.16970320305612696,0.20363905638421667,0.26217228464419473
6.588201,,385,1.2,,,,,
7.013311,l2,435,5.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
5.038081,l1,185,26.2,0.6606060606060606,0.6606060606060606,0.65765516733009,0.6201484363176295,0.651685393258427
1.739201,l1,185,39.2,0.23939393939393938,0.2393939393939394,0.15888888888888889,0.19062776304155615,0.24094881398252185
6.070731,l2,35,39.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
0.923661,l1,10,32.2,0.24545454545454545,0.24545454545454545,0.16358024691358022,0.1963076597545493,0.2596754057428215
4.695851,l2,60,29.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.320191,l2,260,12.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.33707865168539325
9.481571,l2,310,33.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.010031,l1,360,15.2,0.47575757575757577,0.47575757575757577,0.4643512831122574,0.45305338776066245,0.4868913857677903
5.828931,,185,4.2,,,,,
7.287091,l2,135,28.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
2.248351,l1,310,28.2,0.21212121212121213,0.21212121212121207,0.27136583223539745,0.20641422720287073,0.26092384519350814
3.789831,l2,160,36.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.149001,l2,210,10.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.609031,,285,14.2,,,,,
4.950761,l2,260,32.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
2.365751,l2,135,12.2,0.5484848484848485,0.5484848484848485,0.7384039637360321,0.5164579415815856,0.5480649188514357
9.668261,,135,10.2,,,,,
4.136251,l1,85,9.2,0.5969696969696969,0.596969696969697,0.46255093653937585,0.49721199626293816,0.5980024968789014
2.852881,l2,485,17.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
7.596141,l2,485,13.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
0.255761,,435,29.2,,,,,
6.240061,,435,10.2,,,,,
8.608621,l2,360,13.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
4.375771,l1,60,3.2,0.593939393939394,0.5939393939393939,0.5941734417344172,0.5777551504586081,0.5955056179775281
6.205871,l2,460,4.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
0.444531,,185,24.2,,,,,
9.637301,l1,410,5.2,0.6121212121212121,0.6121212121212122,0.42507189542483664,0.4945385553598049,0.6154806491885143
5.915891,l1,335,38.2,0.2696969696969697,0.2696969696969697,0.30327104209924466,0.20750173592195165,0.27340823970037453
2.521071,,285,36.2,,,,,
4.828481,,260,18.2,,,,,
9.599671,,160,9.2,,,,,
5.353861,,360,30.2,,,,,
8.978421,l2,335,30.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
3.802731,l1,35,17.2,0.38181818181818183,0.38181818181818183,0.4726946334089191,0.33193013551936784,0.3645443196004994
5.943391,l1,485,28.2,0.2696969696969697,0.2696969696969697,0.30327104209924466,0.20750173592195165,0.27340823970037453
4.965851,l1,235,12.2,0.47575757575757577,0.47575757575757577,0.5200145754457064,0.3921813097874276,0.4581772784019975
3.331621,,60,31.2,,,,,
9.694181,l1,210,32.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
9.885791,,210,16.2,,,,,
3.663641,l2,435,17.2,0.39090909090909093,0.39090909090909093,0.4512325830653805,0.2723796546919786,0.4069912609238452
0.303131,,110,15.2,,,,,
9.391291,,360,25.2,,,,,
2.657631,l1,260,35.2,0.23333333333333334,0.2333333333333333,0.25071986836692717,0.1895074780090991,0.2534332084893883
9.945011,,385,10.2,,,,,
8.986741,,260,22.2,,,,,
1.829521,l1,185,38.2,0.24242424242424243,0.24242424242424243,0.16082566082566083,0.19287812820785102,0.2397003745318352
3.735111,,335,21.2,,,,,
9.575481,,35,19.2,,,,,
5.420221,l1,10,1.2,0.8242424242424242,0.8242424242424242,0.8217192164560586,0.8219422831206972,0.8551810237203495
2.808881,l1,160,21.2,0.48484848484848486,0.48484848484848486,0.6603199939193555,0.4091039828330492,0.49063670411985016
6.406231,,35,26.2,,,,,
3.961651,l1,85,31.2,0.2636363636363636,0.2636363636363636,0.3010684055042782,0.21395213619554854,0.24968789013732834
7.682921,,35,15.2,,,,,
5.024911,l2,60,19.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.347591,l1,260,12.2,0.6151515151515151,0.6151515151515151,0.42370565181518155,0.4955469367234073,0.6142322097378277
1.367551,,310,15.2,,,,,
5.140791,l2,210,24.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
9.759611,,460,7.2,,,,,
9.403501,l2,435,17.2,0.5666666666666667,0.5666666666666667,0.4023569023569023,0.466155057064148,0.5617977528089888
