lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
0.5,,150,1.0,,,,,
0.75,l1,25,0.01,0.8757575757575757,0.8757575757575756,0.8829006031995804,0.871349715099715,0.8876404494382022
0.75,l1,25,0.1,0.906060606060606,0.9060606060606061,0.9056573778936863,0.9052073445962242,0.9151061173533084
0.75,l1,25,0.25,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9126092384519351
0.75,l1,25,0.5,0.9090909090909091,0.9090909090909091,0.9092632932455942,0.9081707416114085,0.9113607990012484
0.75,l1,25,1.0,0.8484848484848485,0.8484848484848486,0.8496993419559792,0.8487629744492408,0.8701622971285893
0.75,l1,50,0.01,0.8818181818181818,0.8818181818181818,0.8867611774115138,0.877996077996078,0.8938826466916354
0.75,l1,50,0.1,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9063670411985019
0.75,l1,50,0.25,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9126092384519351
0.75,l1,50,0.5,0.9090909090909091,0.9090909090909091,0.9092632932455942,0.9081707416114085,0.9113607990012484
0.75,l1,50,1.0,0.8393939393939394,0.8393939393939394,0.8419258508000902,0.8400448369558404,0.867665418227216
0.75,l1,75,0.01,0.8909090909090909,0.890909090909091,0.8935715685971047,0.8878695503995919,0.9038701622971286
0.75,l1,75,0.1,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9063670411985019
0.75,l1,75,0.25,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9126092384519351
