,Criterion,Max Depth,Min Sample Leaf,Max Features,Boot Size,T Acc,V Acc,V Pred,V Rec,V F1
0,gini,11,5,sqrt,526,0.8314606741573034,0.8090909090909091,0.811774183,0.8090909090909091,0.8081242210996121
0,entropy,12,5,0.33,409,0.8139825218476904,0.8090909090909091,0.8144318503525151,0.8090909090909091,0.8107940572729305
0,entropy,12,5,0.33,409,0.8139825218476904,0.8090909090909091,0.8144318503525151,0.8090909090909091,0.8107940572729305
0,entropy,13,9,0.33,592,0.8214731585518102,0.8090909090909091,0.812382298,0.8090909090909091,0.8101804426754674
0,gini,4,7,0.33,700,0.815230961,0.8090909090909091,0.8103301565690947,0.8090909090909091,0.809396086
0,gini,14,6,0.33,756,0.8514357053682896,0.8090909090909091,0.808946609,0.8090909090909091,0.8089721915409989
0,entropy,9,3,0.33,650,0.8689138576779026,0.8090909090909091,0.8078415274155639,0.8090909090909091,0.8078897899402158
0,entropy,9,3,0.33,650,0.8689138576779026,0.8090909090909091,0.8078415274155639,0.8090909090909091,0.8078897899402158
0,gini,12,9,0.33,539,0.8164794007490637,0.8090909090909091,0.8078550759585242,0.8090909090909091,0.8080796384989587
0,gini,6,11,sqrt,726,0.8077403245942572,0.8090909090909091,0.8065325125048095,0.8090909090909091,0.804701577
0,gini,6,11,sqrt,726,0.8077403245942572,0.8090909090909091,0.8065325125048095,0.8090909090909091,0.804701577
0,entropy,10,1,0.33,676,0.9338327091136079,0.8090909090909091,0.8075210548894759,0.8090909090909091,0.8080773364802093
0,entropy,10,1,0.33,676,0.9338327091136079,0.8090909090909091,0.8075210548894759,0.8090909090909091,0.8080773364802093
0,gini,10,1,0.33,544,0.9101123595505618,0.8090909090909091,0.8088314558902794,0.8090909090909091,0.8083393917146918
0,gini,9,8,sqrt,667,0.8352059925093633,0.8090909090909091,0.8111598152774624,0.8090909090909091,0.8090601238815983
0,entropy,11,10,0.33,598,0.8476903870162297,0.8090909090909091,0.8105962185962187,0.8090909090909091,0.8054135885047873
0,entropy,13,5,sqrt,495,0.8027465667915106,0.7909090909090909,0.7902442480977302,0.790909091,0.7869383088793546
0,entropy,5,1,log2,603,0.8177278401997503,0.7909090909090909,0.7944351892092006,0.7909090909090909,0.792139685
0,entropy,14,8,0.33,467,0.8064918851435705,0.7909090909090909,0.7927914814986864,0.7909090909090909,0.7877876860482026
0,entropy,14,8,0.33,467,0.8064918851435705,0.7909090909090909,0.7927914814986864,0.7909090909090909,0.7877876860482026
0,entropy,6,14,0.33,776,0.8114856429463171,0.7909090909090909,0.7882139983909896,0.790909091,0.7877822904162753
0,gini,11,2,0.33,609,0.8926342072409488,0.7909090909090909,0.7966698564593302,0.790909091,0.7911874321837996
0,gini,9,9,sqrt,408,0.8264669163545568,0.7909090909090909,0.7954123815285339,0.7909090909090909,0.7922461019806152
0,entropy,12,10,0.33,707,0.8514357053682896,0.7909090909090909,0.7908110540786245,0.7909090909090909,0.790781717
0,entropy,7,2,sqrt,409,0.836454432,0.7909090909090909,0.7899600399600399,0.7909090909090909,0.7856492856492857
0,gini,5,2,sqrt,726,0.832709114,0.7909090909090909,0.7892769640717492,0.790909091,0.7875834574459049
0,gini,5,2,sqrt,726,0.832709114,0.7909090909090909,0.7892769640717492,0.790909091,0.7875834574459049
0,gini,6,7,sqrt,775,0.8102372034956304,0.7909090909090909,0.7900148145475248,0.7909090909090909,0.7903889877324413
0,gini,3,14,sqrt,787,0.7652933832709113,0.7909090909090909,0.7897078436275735,0.790909091,0.7853047573544468
0,gini,9,3,0.33,772,0.885143571,0.7909090909090909,0.788611997,0.790909091,0.7891988665907518
0,entropy,14,13,log2,743,0.762796504,0.7909090909090909,0.7885558978906889,0.790909091,0.7875239792886851
0,entropy,14,14,0.33,592,0.8239700374531835,0.7909090909090909,0.7923699821805852,0.7909090909090909,0.7915427549450404
0,gini,9,10,log2,545,0.7765293383270911,0.7909090909090909,0.7925760346812979,0.790909091,0.7915098239653643
0,gini,13,12,0.33,713,0.8214731585518102,0.7909090909090909,0.7908177879714579,0.7909090909090909,0.7886472630250804
0,entropy,5,7,0.33,748,0.8114856429463171,0.7909090909090909,0.7988105352591335,0.7909090909090909,0.7843204850069839
0,entropy,8,4,sqrt,655,0.8526841448189763,0.7909090909090909,0.788614105,0.7909090909090909,0.7887251080548224
0,gini,8,2,0.33,766,0.8801498127340824,0.7909090909090909,0.7914877751163737,0.790909091,0.7908489730021304
0,gini,13,13,log2,439,0.7640449438202247,0.7909090909090909,0.7918803418803418,0.7909090909090909,0.7831362827358251
0,entropy,7,1,log2,501,0.8401997503121099,0.7909090909090909,0.7876247623303255,0.790909091,0.7878363510245986
0,entropy,7,1,log2,501,0.8401997503121099,0.7909090909090909,0.7876247623303255,0.790909091,0.7878363510245986
0,gini,9,6,log2,638,0.836454432,0.7909090909090909,0.788730722,0.790909091,0.7892698174882179
0,entropy,3,11,sqrt,633,0.7965043695380774,0.7909090909090909,0.7894419862340216,0.790909091,0.7899755632157343
0,gini,7,9,0.33,582,0.8439450686641697,0.7909090909090909,0.7899412631859327,0.790909091,0.7881056167085988
0,entropy,13,6,0.33,684,0.8813982521847691,0.7909090909090909,0.7874153871867141,0.7909090909090909,0.7877667598949064
0,entropy,13,6,0.33,684,0.8813982521847691,0.7909090909090909,0.7874153871867141,0.7909090909090909,0.7877667598949064
0,gini,4,1,log2,711,0.7940074906367042,0.7909090909090909,0.7890840287894187,0.7909090909090909,0.7895341366171552
0,gini,4,1,log2,711,0.7940074906367042,0.7909090909090909,0.7890840287894187,0.7909090909090909,0.7895341366171552
0,gini,11,3,0.33,442,0.8476903870162297,0.7909090909090909,0.7898902911272345,0.7909090909090909,0.7897364584906467
0,gini,9,13,0.33,562,0.8202247191011236,0.7909090909090909,0.7902590954229485,0.790909091,0.7904160654160653
0,entropy,9,14,log2,769,0.7802746566791511,0.7909090909090909,0.7885420417887951,0.790909091,0.788295854
0,entropy,13,11,0.33,746,0.8414481897627965,0.7909090909090909,0.789046452,0.7909090909090909,0.7883145298179004
0,gini,11,3,0.33,452,0.8564294631710362,0.7909090909090909,0.7892520215633424,0.7909090909090909,0.7899566232899566
0,entropy,14,8,0.33,632,0.8227215980024969,0.7909090909090909,0.7915714446088278,0.790909091,0.7911637057747115
0,entropy,14,8,0.33,632,0.8227215980024969,0.7909090909090909,0.7915714446088278,0.790909091,0.7911637057747115
