alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.000361,relu,18,"(125, 165, 115)",0.8787878787878788,0.8787878787878788,0.8788572401288243,0.8771778810463071,1.0
0.000545,relu,36,"(85, 105, 365, 255, 495)",0.8606060606060606,0.8606060606060607,0.8599016240320588,0.8598972228878772,1.0
0.000277,relu,36,"(395, 360, 110, 440, 430)",0.8727272727272727,0.8727272727272727,0.8722878515804218,0.8709368432491355,1.0
0.000841,tanh,64,"(330,)",0.8727272727272727,0.8727272727272727,0.8727641454914182,0.871164782929489,1.0
0.000617,tanh,38,"(280,)",0.8606060606060606,0.8606060606060607,0.8602974828375286,0.8583260673186442,1.0
0.000589,tanh,38,"(270,)",0.8666666666666667,0.8666666666666667,0.8664619164619164,0.8652538828336379,1.0
0.000689,tanh,30,"(140,)",0.8636363636363636,0.8636363636363636,0.8637787694742233,0.8618693418499398,1.0
0.000149,relu,18,"(285, 20, 260)",0.8575757575757575,0.8575757575757575,0.8579730645279425,0.8556405410808657,1.0
0.000611,tanh,12,"(35, 85, 495)",0.8575757575757575,0.8575757575757575,0.8576800886252105,0.855485180158022,1.0
3.7e-05,relu,70,"(170, 105)",0.8727272727272727,0.8727272727272727,0.8725457978081667,0.871516531563108,1.0
0.000765,tanh,24,"(195, 65, 205, 35)",0.8606060606060606,0.8606060606060607,0.8615551749294256,0.8581162722186381,1.0
0.000339,tanh,52,"(375, 180, 85)",0.8575757575757575,0.8575757575757575,0.8577869891999413,0.8542095251268439,1.0
0.000571,tanh,54,"(410, 200, 235, 95)",0.8575757575757575,0.8575757575757575,0.8603174603174604,0.8546198299139475,1.0
0.000937,relu,34,"(260, 30, 65, 405, 50)",0.8757575757575757,0.8757575757575758,0.8753009975920193,0.8749438454627135,1.0
0.000755,tanh,32,"(410, 415, 445, 455)",0.8666666666666667,0.8666666666666667,0.8655132408242966,0.8645475991964728,0.9962546816479401
0.000543,tanh,70,"(295, 300)",0.8606060606060606,0.8606060606060607,0.8609760675309456,0.8586571323327511,1.0
0.000313,relu,22,"(500, 415)",0.8636363636363636,0.8636363636363636,0.8631377293809236,0.8624719061665965,1.0
0.000697,tanh,36,"(325,)",0.8636363636363636,0.8636363636363636,0.8633333333333333,0.8623188405797103,1.0
0.000715,tanh,34,"(490, 70)",0.8545454545454545,0.8545454545454545,0.8550935556215918,0.8528841314808847,1.0
3.9e-05,relu,34,"(70, 235, 450)",0.8606060606060606,0.8606060606060607,0.8609888318252222,0.8583957630762963,1.0
8.3e-05,tanh,46,"(130,)",0.8636363636363636,0.8636363636363636,0.8635080069083787,0.8617263138164452,1.0
0.000997,relu,14,"(285, 65, 120, 355)",0.8727272727272727,0.8727272727272727,0.8720330237358102,0.871799191374663,1.0
2.3e-05,tanh,32,"(370, 165, 310)",0.8666666666666667,0.8666666666666667,0.8679063835371505,0.8640213151351764,1.0
0.000229,relu,32,"(345, 450, 135, 170)",0.8575757575757575,0.8575757575757575,0.8570973438438712,0.8559901355953988,1.0
0.000639,relu,62,"(125, 270, 125, 165, 320)",0.8727272727272727,0.8727272727272727,0.8722307588014643,0.8721165481494428,1.0
0.000437,relu,70,"(15, 230, 485)",0.8727272727272727,0.8727272727272727,0.8725173136937844,0.871946378341622,1.0
0.000499,tanh,18,"(175, 365, 125)",0.8545454545454545,0.8545454545454545,0.8551088109385981,0.8520276413893435,1.0
0.000209,tanh,64,"(280, 60)",0.8575757575757575,0.8575757575757575,0.8589035018807937,0.854753666561542,1.0
0.000157,tanh,18,"(375, 480, 295, 60)",0.8393939393939394,0.8393939393939394,0.8418878118544413,0.8356506229403177,1.0
0.000281,tanh,68,"(50, 330, 485, 455, 245)",0.8787878787878788,0.8787878787878788,0.8800881706129963,0.8766209547411866,1.0
0.000327,tanh,68,"(75, 320, 320, 70)",0.8515151515151516,0.8515151515151516,0.8519125793048067,0.84755870308549,1.0
0.000853,tanh,62,"(450, 145, 55, 280, 220)",0.8545454545454545,0.8545454545454545,0.856366524602867,0.8511529592984693,1.0
0.000381,relu,14,"(270, 65)",0.8575757575757575,0.8575757575757575,0.8576754385964912,0.855744839092243,1.0
0.000739,relu,44,"(45, 310)",0.8575757575757575,0.8575757575757575,0.8578216374269005,0.8558224788437959,1.0
0.000517,relu,42,"(30, 450, 360, 385, 365)",0.8848484848484849,0.8848484848484848,0.8838515206936259,0.8840949349328282,1.0
0.000539,tanh,64,"(25, 130, 300)",0.8484848484848485,0.8484848484848485,0.8489984536267846,0.8452472679338351,1.0
0.000343,relu,26,"(235, 395, 235)",0.8696969696969697,0.8696969696969696,0.8692037819474101,0.8683398493552197,1.0
0.000329,tanh,46,"(175, 220, 75, 320)",0.8575757575757575,0.8575757575757575,0.8583068221986568,0.8547937883917146,1.0
1.3e-05,tanh,68,"(455, 160, 470)",0.8636363636363636,0.8636363636363636,0.8642433469724363,0.8609652750676409,1.0
0.000629,tanh,30,"(220, 65, 360)",0.8606060606060606,0.8606060606060607,0.8616579132323813,0.858312206497438,1.0
0.000615,relu,16,"(380, 115, 410, 320)",0.8636363636363636,0.8636363636363636,0.862618100979009,0.8625455559629348,1.0
5.7e-05,relu,68,"(380, 140, 160, 430, 365)",0.8696969696969697,0.8696969696969697,0.8688217008437965,0.868744629176036,1.0
0.000439,tanh,46,"(335, 445, 215, 330, 105)",0.8484848484848485,0.8484848484848485,0.8530458525562564,0.8447845804988662,1.0
0.000233,tanh,10,"(290, 125, 110, 330, 15)",0.8545454545454545,0.8545454545454545,0.8534977475974035,0.8526805796542639,0.9912609238451935
0.000249,relu,22,"(145,)",0.8606060606060606,0.8606060606060607,0.8604628665922149,0.8589677091278922,1.0
3.7e-05,tanh,28,"(465, 285)",0.8636363636363636,0.8636363636363636,0.8639500359389723,0.8618272040552317,1.0
0.000319,tanh,12,"(435, 495)",0.8606060606060606,0.8606060606060607,0.8601408880383836,0.859434866891561,1.0
0.000769,tanh,24,"(10,)",0.8666666666666667,0.8666666666666667,0.8664918042757656,0.8649061617671482,1.0
0.000413,relu,52,"(15, 300, 265, 340)",0.8606060606060606,0.8606060606060607,0.8612279611678018,0.8593966791701918,1.0
0.000277,tanh,60,"(205,)",0.8666666666666667,0.8666666666666667,0.8664918042757656,0.8649061617671482,1.0
0.000213,relu,30,"(340, 120, 415, 340)",0.8696969696969697,0.8696969696969696,0.8689997662769939,0.8685544638109516,1.0
3.9e-05,relu,68,"(500, 125)",0.8606060606060606,0.8606060606060607,0.8603890106767346,0.8586634508337142,1.0
7.9e-05,relu,56,"(320, 85)",0.8696969696969697,0.8696969696969696,0.8698471359998058,0.8684049868260395,1.0
0.000795,tanh,22,"(165,)",0.8636363636363636,0.8636363636363636,0.8636049610075585,0.8620570605864724,1.0
0.000933,relu,12,"(100, 450, 275)",0.8636363636363636,0.8636363636363636,0.8631124027684388,0.863222061146971,1.0
0.000225,relu,44,"(100, 30, 350, 10, 235)",0.8818181818181818,0.8818181818181818,0.8813229952248643,0.8814873008421396,1.0
0.000907,tanh,22,"(425, 445, 170, 255)",0.8424242424242424,0.8424242424242424,0.8420695034275628,0.840713619798288,1.0
0.000385,tanh,30,"(20,)",0.8606060606060606,0.8606060606060607,0.8612285286386698,0.8585634310118766,1.0
0.000489,tanh,12,"(90, 100, 440)",0.8575757575757575,0.8575757575757575,0.8573393403543818,0.8556321386817903,1.0
2.1e-05,tanh,14,"(150,)",0.8575757575757575,0.8575757575757575,0.8571077701507505,0.8550932753026309,1.0
0.000553,tanh,34,"(30, 230, 375)",0.8696969696969697,0.8696969696969697,0.8702940703101648,0.8671720488961868,1.0
0.000425,relu,44,"(225, 40, 150, 300)",0.8787878787878788,0.8787878787878789,0.8791327872283027,0.878004448968252,1.0
0.000137,tanh,56,"(120, 195, 220, 425)",0.8636363636363636,0.8636363636363636,0.8637840066581658,0.8614508178482124,1.0
0.000801,tanh,32,"(395, 300, 335)",0.8575757575757575,0.8575757575757575,0.8572005974603377,0.8558353411294588,1.0
0.000911,relu,28,"(285, 235, 250, 380)",0.8636363636363636,0.8636363636363636,0.8635355657414481,0.8623667021736431,1.0
0.000907,tanh,64,"(145, 175, 380, 65)",0.8575757575757575,0.8575757575757575,0.8606894841269841,0.8548217124687714,1.0
0.000977,relu,50,"(430, 470, 55, 100)",0.8727272727272727,0.8727272727272727,0.8722642763589231,0.8716266981493751,1.0
0.000947,relu,30,"(395, 35)",0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8651832434441129,1.0
0.000465,relu,38,"(90,)",0.8727272727272727,0.8727272727272727,0.8733483263853336,0.8710461562566575,1.0
7.9e-05,tanh,66,"(270, 485, 500, 180)",0.8636363636363636,0.8636363636363636,0.8640326712097046,0.861634199134199,1.0
0.000397,relu,10,"(285, 400, 435)",0.8818181818181818,0.8818181818181818,0.8826767676767676,0.8810653115000942,1.0
0.000455,tanh,48,"(375, 295, 375, 445, 85)",0.8424242424242424,0.8424242424242424,0.842026938508147,0.8392766965483732,1.0
0.000867,relu,66,"(480, 250, 165)",0.8757575757575757,0.8757575757575758,0.8758751195988356,0.8744296639033481,1.0
0.000759,tanh,40,"(10, 255)",0.8636363636363636,0.8636363636363636,0.8630949130949132,0.862064090170161,1.0
0.000549,tanh,12,"(85, 210, 130, 45)",0.8424242424242424,0.8424242424242424,0.8414738353991392,0.8408214788908678,1.0
0.000391,tanh,22,"(130, 435)",0.8545454545454545,0.8545454545454545,0.8535087719298246,0.8521708979074957,1.0
0.000473,relu,26,"(190,)",0.8636363636363636,0.8636363636363636,0.8637614337770506,0.8622947831732369,1.0
0.000927,relu,34,"(160, 80)",0.8696969696969697,0.8696969696969697,0.8697036895566308,0.8684677029885028,1.0
0.000609,tanh,22,"(500, 310, 180, 445, 265)",0.8545454545454545,0.8545454545454545,0.8535654025379539,0.8529143214061788,1.0
0.000643,tanh,64,"(330, 245, 80, 165)",0.8575757575757575,0.8575757575757575,0.860284719844802,0.8540271917487107,1.0
