alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.000865,relu,38,"(355, 260, 195)",0.9151515151515152,0.9151515151515152,0.914956917737454,0.9148548981882315,1.0
0.000697,relu,42,"(225, 365)",0.9212121212121213,0.9212121212121213,0.9213096844675791,0.9209015423968694,1.0
0.000369,relu,26,"(335,)",0.9121212121212121,0.9121212121212121,0.9125291820583655,0.9118717792750287,1.0
0.000137,relu,42,"(25,)",0.9151515151515152,0.915151515151515,0.9161161319873862,0.9148901025191605,1.0
0.000903,relu,56,"(150, 95)",0.9030303030303031,0.903030303030303,0.9031787587894837,0.9029020362353696,1.0
0.000613,tanh,58,"(250, 430, 260, 35, 440)",0.9030303030303031,0.903030303030303,0.9043431316158589,0.9025981866668674,1.0
0.000415,relu,38,"(160, 375, 105)",0.8909090909090909,0.890909090909091,0.8903381642512077,0.8903186907838071,1.0
0.000487,relu,56,"(300,)",0.9151515151515152,0.9151515151515152,0.9155286730261905,0.9151354818021485,1.0
0.000875,tanh,20,"(325, 60, 495, 55)",0.9212121212121213,0.9212121212121213,0.9218234423036683,0.9208763857111985,1.0
0.000105,relu,28,"(300, 130, 305)",0.9090909090909091,0.9090909090909092,0.908754787371063,0.9088352260114608,1.0
0.000289,relu,32,"(460, 450, 245)",0.896969696969697,0.896969696969697,0.8969814158341389,0.8966464119190354,1.0
0.000147,tanh,22,"(285, 475, 340, 300, 485)",0.9181818181818182,0.9181818181818183,0.9182128886639839,0.9178491636070593,1.0
3.1e-05,relu,10,"(335, 395, 25, 70)",0.9030303030303031,0.903030303030303,0.9029881038501729,0.9025648929957919,1.0
0.000329,tanh,60,"(470,)",0.9121212121212121,0.9121212121212121,0.9141586627742022,0.9121875227695955,1.0
0.000217,tanh,16,"(145, 315, 120, 450, 390)",0.8878787878787879,0.887878787878788,0.8897777777777778,0.8867871476481075,0.9987515605493134
0.000625,tanh,54,"(115, 445, 495, 280, 105)",0.9090909090909091,0.9090909090909091,0.9091781259993604,0.9085445094217023,1.0
0.000925,relu,16,"(270,)",0.9030303030303031,0.903030303030303,0.9028550823563138,0.9028561527678135,1.0
0.000963,tanh,60,"(240, 285, 255, 115)",0.9151515151515152,0.9151515151515152,0.9158250456145761,0.9145873173707227,1.0
0.000953,tanh,60,"(65, 120, 355, 300, 250)",0.9030303030303031,0.903030303030303,0.9026872374330002,0.9022221520247217,1.0
0.000825,tanh,70,"(295, 135, 20, 350, 360)",0.906060606060606,0.9060606060606061,0.9062377479808673,0.9056189380627355,1.0
0.000573,tanh,34,"(30, 330, 220)",0.8909090909090909,0.890909090909091,0.8909665627829719,0.8897280570634359,1.0
7.1e-05,tanh,58,"(495, 15, 420, 275)",0.9090909090909091,0.9090909090909092,0.9099320418566563,0.9086766278712476,1.0
0.000675,tanh,38,"(190, 45, 120, 190, 455)",0.9212121212121213,0.9212121212121213,0.92124657298745,0.9206862973827069,1.0
0.000835,relu,66,"(25, 320, 100, 50, 285)",0.8757575757575757,0.8757575757575756,0.8759426649334907,0.8758382811565729,1.0
0.000971,tanh,60,"(115, 115, 440)",0.9090909090909091,0.9090909090909092,0.908911112114417,0.9087660949750326,1.0
0.000501,relu,68,"(45, 175, 155, 390)",0.896969696969697,0.8969696969696969,0.8973380547187428,0.896414650322778,1.0
0.000255,tanh,18,"(240, 125)",0.9181818181818182,0.9181818181818181,0.9192607860754366,0.9179765222722468,1.0
0.000977,relu,54,"(10, 335)",0.8939393939393939,0.8939393939393939,0.8942872117400419,0.8932046091872721,1.0
0.000781,tanh,54,"(340, 35, 110, 20)",0.906060606060606,0.9060606060606059,0.9062286899363774,0.905753637665892,1.0
0.000883,relu,40,"(105,)",0.906060606060606,0.9060606060606059,0.9061764540511016,0.905776619086137,1.0
0.000213,tanh,68,"(185, 25, 405, 215, 280)",0.8939393939393939,0.8939393939393939,0.8933427225506434,0.8928078338271045,1.0
0.000849,relu,16,"(95, 320)",0.9,0.9,0.8999819624819625,0.8999403907660789,1.0
0.000171,tanh,34,"(265, 485, 85, 455)",0.9272727272727272,0.9272727272727274,0.9284469715260676,0.9272014312267564,1.0
0.000925,tanh,24,"(225, 165)",0.9151515151515152,0.9151515151515152,0.915359406250753,0.9149043227417292,1.0
